# Energy(eV)  Abs(norm)
1.00438352 -0.00532171
1.00668188 -0.00392516
1.00898024 -0.00530665
1.01127860 -0.00391842
1.01357696 -0.00529704
1.01587532 -0.00389514
1.01817368 -0.00528229
1.02047204 -0.00387834
1.02277041 -0.00526680
1.02506877 -0.00385682
1.02736713 -0.00526439
1.02966549 -0.00383340
1.03196385 -0.00525546
1.03426221 -0.00381599
1.03656057 -0.00523952
1.03885893 -0.00381131
1.04115729 -0.00521996
1.04345565 -0.00378865
1.04575401 -0.00519535
1.04805237 -0.00374886
1.05035073 -0.00515488
1.05264909 -0.00371533
1.05494745 -0.00512749
1.05724581 -0.00370285
1.05954417 -0.00512628
1.06184253 -0.00370951
1.06414089 -0.00513997
1.06643925 -0.00369988
1.06873761 -0.00512001
1.07103597 -0.00366420
1.07333434 -0.00505792
1.07563270 -0.00360350
1.07793106 -0.00498734
1.08022942 -0.00352547
1.08252778 -0.00492647
1.08482614 -0.00347453
1.08712450 -0.00489464
1.08942286 -0.00345346
1.09172122 -0.00488326
1.09401958 -0.00346856
1.09631794 -0.00489476
1.09861630 -0.00348063
1.10091466 -0.00491094
1.10321302 -0.00348533
1.10551138 -0.00490697
1.10780974 -0.00348336
1.11010810 -0.00489197
1.11240646 -0.00346088
1.11470482 -0.00487002
1.11700318 -0.00343126
1.11930154 -0.00484006
1.12159990 -0.00339189
1.12389827 -0.00480927
1.12619663 -0.00336269
1.12849499 -0.00478658
1.13079335 -0.00334679
1.13309171 -0.00477757
1.13539007 -0.00333858
1.13768843 -0.00477415
1.13998679 -0.00333114
1.14228515 -0.00476534
1.14458351 -0.00331313
1.14688187 -0.00474500
1.14918023 -0.00329308
1.15147859 -0.00472443
1.15377695 -0.00327616
1.15607531 -0.00471150
1.15837367 -0.00326601
1.16067203 -0.00470357
1.16297039 -0.00325833
1.16526875 -0.00469449
1.16756711 -0.00324608
1.16986547 -0.00468016
1.17216383 -0.00323115
1.17446220 -0.00466899
1.17676056 -0.00321895
1.17905892 -0.00466029
1.18135728 -0.00321211
1.18365564 -0.00465056
1.18595400 -0.00320711
1.18825236 -0.00463921
1.19055072 -0.00319290
1.19284908 -0.00462205
1.19514744 -0.00317114
1.19744580 -0.00459555
1.19974416 -0.00314247
1.20204252 -0.00456514
1.20434088 -0.00311397
1.20663924 -0.00454276
1.20893760 -0.00309608
1.21123596 -0.00453634
1.21353432 -0.00309594
1.21583268 -0.00453997
1.21813104 -0.00310392
1.22042940 -0.00454437
1.22272777 -0.00310298
1.22502613 -0.00453478
1.22732449 -0.00308772
1.22962285 -0.00451199
1.23192121 -0.00306345
1.23421957 -0.00448532
1.23651793 -0.00304125
1.23881629 -0.00446513
1.24111465 -0.00302530
1.24341301 -0.00444980
1.24571137 -0.00300602
1.24800973 -0.00442763
1.25030809 -0.00297954
1.25260645 -0.00440013
1.25490481 -0.00294581
1.25720317 -0.00437625
1.25950153 -0.00293133
1.26179989 -0.00436050
1.26409825 -0.00292760
1.26639661 -0.00436231
1.26869497 -0.00292648
1.27099333 -0.00435694
1.27329170 -0.00292368
1.27559006 -0.00435324
1.27788842 -0.00292011
1.28018678 -0.00435561
1.28248514 -0.00291663
1.28478350 -0.00435230
1.28708186 -0.00290379
1.28938022 -0.00433384
1.29167858 -0.00287510
1.29397694 -0.00429187
1.29627530 -0.00284854
1.29857366 -0.00428213
1.30087202 -0.00284319
1.30317038 -0.00430390
1.30546874 -0.00287271
1.30776710 -0.00434643
1.31006546 -0.00290841
1.31236382 -0.00437861
1.31466218 -0.00292456
1.31696054 -0.00439257
1.31925890 -0.00292941
1.32155726 -0.00439396
1.32385563 -0.00292515
1.32615399 -0.00437700
1.32845235 -0.00291196
1.33075071 -0.00434710
1.33304907 -0.00287309
1.33534743 -0.00430508
1.33764579 -0.00282730
1.33994415 -0.00426897
1.34224251 -0.00279197
1.34454087 -0.00424543
1.34683923 -0.00277140
1.34913759 -0.00423308
1.35143595 -0.00275132
1.35373431 -0.00420337
1.35603267 -0.00271689
1.35833103 -0.00415832
1.36062939 -0.00266129
1.36292775 -0.00409610
1.36522611 -0.00260109
1.36752447 -0.00404536
1.36982283 -0.00257274
1.37212120 -0.00404272
1.37441956 -0.00259780
1.37671792 -0.00409855
1.37901628 -0.00267750
1.38131464 -0.00417890
1.38361300 -0.00275810
1.38591136 -0.00423886
1.38820972 -0.00279517
1.39050808 -0.00423852
1.39280644 -0.00277538
1.39510480 -0.00419578
1.39740316 -0.00272225
1.39970152 -0.00413889
1.40199988 -0.00266391
1.40429824 -0.00409266
1.40659660 -0.00263474
1.40889496 -0.00407920
1.41119332 -0.00263149
1.41349168 -0.00408204
1.41579004 -0.00264872
1.41808840 -0.00409645
1.42038676 -0.00266591
1.42268513 -0.00410453
1.42498349 -0.00267815
1.42728185 -0.00410023
1.42958021 -0.00267578
1.43187857 -0.00408975
1.43417693 -0.00266259
1.43647529 -0.00407526
1.43877365 -0.00265239
1.44107201 -0.00406755
1.44337037 -0.00264841
1.44566873 -0.00406726
1.44796709 -0.00264341
1.45026545 -0.00406354
1.45256381 -0.00263810
1.45486217 -0.00405279
1.45716053 -0.00263444
1.45945889 -0.00404662
1.46175725 -0.00263257
1.46405561 -0.00404796
1.46635397 -0.00262991
1.46865233 -0.00404265
1.47095069 -0.00261957
1.47324906 -0.00403216
1.47554742 -0.00260452
1.47784578 -0.00401707
1.48014414 -0.00259134
1.48244250 -0.00400635
1.48474086 -0.00258316
1.48703922 -0.00399793
1.48933758 -0.00257533
1.49163594 -0.00399009
1.49393430 -0.00256720
1.49623266 -0.00398162
1.49853102 -0.00255928
1.50082938 -0.00397321
1.50312774 -0.00255217
1.50542610 -0.00396636
1.50772446 -0.00254511
1.51002282 -0.00395868
1.51232118 -0.00253751
1.51461954 -0.00395072
1.51691790 -0.00253024
1.51921626 -0.00394371
1.52151462 -0.00252399
1.52381299 -0.00393785
1.52611135 -0.00251890
1.52840971 -0.00393354
1.53070807 -0.00251477
1.53300643 -0.00392794
1.53530479 -0.00251042
1.53760315 -0.00392243
1.53990151 -0.00250527
1.54219987 -0.00391636
1.54449823 -0.00249900
1.54679659 -0.00390963
1.54909495 -0.00249286
1.55139331 -0.00390283
1.55369167 -0.00248666
1.55599003 -0.00389650
1.55828839 -0.00248121
1.56058675 -0.00389114
1.56288511 -0.00247636
1.56518347 -0.00388561
1.56748183 -0.00247214
1.56978019 -0.00388075
1.57207856 -0.00246752
1.57437692 -0.00387625
