# Energy(eV)  Abs(norm)
1.34476507 -0.00688495
1.34821319 -0.00229842
1.35166130 -0.00684018
1.35510942 -0.00225274
1.35855753 -0.00677783
1.36200565 -0.00219253
1.36545377 -0.00672599
1.36890188 -0.00216666
1.37235000 -0.00669894
1.37579811 -0.00215033
1.37924623 -0.00670668
1.38269434 -0.00215213
1.38614246 -0.00672705
1.38959057 -0.00214952
1.39303869 -0.00672573
1.39648681 -0.00213118
1.39993492 -0.00670735
1.40338304 -0.00211289
1.40683115 -0.00668428
1.41027927 -0.00209749
1.41372738 -0.00668668
1.41717550 -0.00210030
1.42062361 -0.00669559
1.42407173 -0.00210351
1.42751985 -0.00669516
1.43096796 -0.00208826
1.43441608 -0.00668172
1.43786419 -0.00206510
1.44131231 -0.00665745
1.44476042 -0.00205099
1.44820854 -0.00663916
1.45165665 -0.00204384
1.45510477 -0.00662749
1.45855289 -0.00203468
1.46200100 -0.00661498
1.46544912 -0.00202286
1.46889723 -0.00659705
1.47234535 -0.00200702
1.47579346 -0.00657939
1.47924158 -0.00199061
1.48268969 -0.00656188
1.48613781 -0.00197680
1.48958593 -0.00654825
1.49303404 -0.00196391
1.49648216 -0.00653584
1.49993027 -0.00195138
1.50337839 -0.00652272
1.50682650 -0.00193792
1.51027462 -0.00650841
1.51372273 -0.00192584
1.51717085 -0.00649344
1.52061897 -0.00191318
1.52406708 -0.00648064
1.52751520 -0.00190053
1.53096331 -0.00646873
1.53441143 -0.00188864
1.53785954 -0.00645714
1.54130766 -0.00187791
1.54475577 -0.00644507
1.54820389 -0.00186670
1.55165201 -0.00643425
1.55510012 -0.00185709
1.55854824 -0.00642445
1.56199635 -0.00184894
1.56544447 -0.00641651
1.56889258 -0.00184321
1.57234070 -0.00640910
1.57578881 -0.00183657
1.57923693 -0.00640067
1.58268505 -0.00182875
1.58613316 -0.00639141
1.58958128 -0.00181966
1.59302939 -0.00638141
1.59647751 -0.00181181
1.59992562 -0.00637151
1.60337374 -0.00180384
1.60682185 -0.00636287
1.61026997 -0.00179558
1.61371809 -0.00635403
1.61716620 -0.00178807
1.62061432 -0.00634455
1.62406243 -0.00178002
1.62751055 -0.00633461
1.63095866 -0.00177143
1.63440678 -0.00632404
1.63785490 -0.00176165
1.64130301 -0.00631254
1.64475113 -0.00175184
1.64819924 -0.00629971
1.65164736 -0.00174076
1.65509547 -0.00628777
1.65854359 -0.00173050
1.66199170 -0.00627798
1.66543982 -0.00172330
1.66888794 -0.00627066
1.67233605 -0.00171835
1.67578417 -0.00626310
1.67923228 -0.00171190
1.68268040 -0.00625434
1.68612851 -0.00170297
1.68957663 -0.00624402
1.69302474 -0.00169483
1.69647286 -0.00623587
1.69992098 -0.00169051
1.70336909 -0.00623047
1.70681721 -0.00168802
1.71026532 -0.00622609
1.71371344 -0.00168457
1.71716155 -0.00621920
1.72060967 -0.00167734
1.72405778 -0.00620901
1.72750590 -0.00166840
1.73095402 -0.00619705
1.73440213 -0.00165908
1.73785025 -0.00618710
1.74129836 -0.00165001
1.74474648 -0.00617874
1.74819459 -0.00164233
1.75164271 -0.00616826
1.75509082 -0.00163485
1.75853894 -0.00616081
1.76198706 -0.00162957
1.76543517 -0.00615460
1.76888329 -0.00162749
1.77233140 -0.00615322
1.77577952 -0.00162759
1.77922763 -0.00615058
1.78267575 -0.00162651
1.78612386 -0.00614482
1.78957198 -0.00162039
1.79302010 -0.00613612
1.79646821 -0.00160951
1.79991633 -0.00612262
1.80336444 -0.00159716
1.80681256 -0.00610856
1.81026067 -0.00158404
1.81370879 -0.00609456
1.81715690 -0.00157370
1.82060502 -0.00608333
1.82405314 -0.00156405
1.82750125 -0.00607357
1.83094937 -0.00155598
1.83439748 -0.00606291
1.83784560 -0.00154775
1.84129371 -0.00605318
1.84474183 -0.00154040
1.84818994 -0.00604690
1.85163806 -0.00153739
1.85508618 -0.00604402
1.85853429 -0.00153745
1.86198241 -0.00604304
1.86543052 -0.00153789
1.86887864 -0.00604050
1.87232675 -0.00153536
1.87577487 -0.00603621
1.87922298 -0.00153203
1.88267110 -0.00603018
1.88611922 -0.00152733
1.88956733 -0.00602414
1.89301545 -0.00152164
1.89646356 -0.00601710
1.89991168 -0.00151599
1.90335979 -0.00601018
1.90680791 -0.00151102
1.91025603 -0.00600395
1.91370414 -0.00150698
1.91715226 -0.00599868
1.92060037 -0.00150274
1.92404849 -0.00599333
1.92749660 -0.00149818
1.93094472 -0.00598656
1.93439283 -0.00149339
1.93784095 -0.00597952
1.94128907 -0.00148807
1.94473718 -0.00597246
1.94818530 -0.00148204
1.95163341 -0.00596526
1.95508153 -0.00147607
1.95852964 -0.00595790
1.96197776 -0.00147078
1.96542587 -0.00595094
1.96887399 -0.00146611
1.97232211 -0.00594487
1.97577022 -0.00146097
1.97921834 -0.00593835
1.98266645 -0.00145576
1.98611457 -0.00593128
1.98956268 -0.00145059
1.99301080 -0.00592499
1.99645891 -0.00144575
1.99990703 -0.00591896
2.00335515 -0.00144118
2.00680326 -0.00591259
2.01025138 -0.00143629
2.01369949 -0.00590622
2.01714761 -0.00143149
2.02059572 -0.00590066
2.02404384 -0.00142823
2.02749195 -0.00589626
2.03094007 -0.00142565
2.03438819 -0.00589180
2.03783630 -0.00142238
2.04128442 -0.00588638
2.04473253 -0.00141709
2.04818065 -0.00587982
2.05162876 -0.00141107
2.05507688 -0.00587294
2.05852499 -0.00140617
2.06197311 -0.00586659
2.06542123 -0.00140183
2.06886934 -0.00586088
2.07231746 -0.00139812
2.07576557 -0.00585542
2.07921369 -0.00139458
2.08266180 -0.00585080
2.08610992 -0.00139211
2.08955803 -0.00584698
2.09300615 -0.00139060
2.09645427 -0.00584343
2.09990238 -0.00138791
2.10335050 -0.00583936
2.10679861 -0.00138305
2.11024673 -0.00583278
2.11369484 -0.00137706
2.11714296 -0.00582439
2.12059107 -0.00137147
2.12403919 -0.00581715
2.12748731 -0.00136815
2.13093542 -0.00581297
2.13438354 -0.00136689
2.13783165 -0.00581136
2.14127977 -0.00136699
2.14472788 -0.00580882
2.14817600 -0.00136649
2.15162411 -0.00580520
2.15507223 -0.00136322
2.15852035 -0.00580040
2.16196846 -0.00135849
2.16541658 -0.00579396
2.16886469 -0.00135327
2.17231281 -0.00578674
2.17576092 -0.00134851
2.17920904 -0.00577964
2.18265715 -0.00134489
2.18610527 -0.00577432
2.18955339 -0.00134183
2.19300150 -0.00577014
2.19644962 -0.00133986
2.19989773 -0.00576595
2.20334585 -0.00133744
2.20679396 -0.00576128
2.21024208 -0.00133376
2.21369020 -0.00575599
2.21713831 -0.00132952
2.22058643 -0.00575056
2.22403454 -0.00132520
2.22748266 -0.00574494
2.23093077 -0.00132233
2.23437889 -0.00573980
2.23782700 -0.00131953
2.24127512 -0.00573531
2.24472324 -0.00131656
2.24817135 -0.00573076
2.25161947 -0.00131326
2.25506758 -0.00572565
2.25851570 -0.00130909
2.26196381 -0.00572004
2.26541193 -0.00130461
2.26886004 -0.00571389
2.27230816 -0.00129955
2.27575628 -0.00570791
2.27920439 -0.00129507
2.28265251 -0.00570207
2.28610062 -0.00129148
2.28954874 -0.00569733
2.29299685 -0.00128904
2.29644497 -0.00569411
2.29989308 -0.00128748
2.30334120 -0.00569133
2.30678932 -0.00128592
2.31023743 -0.00568834
2.31368555 -0.00128402
2.31713366 -0.00568430
2.32058178 -0.00128140
2.32402989 -0.00568029
2.32747801 -0.00127825
2.33092612 -0.00567608
2.33437424 -0.00127535
2.33782236 -0.00567120
2.34127047 -0.00127238
2.34471859 -0.00566686
2.34816670 -0.00126973
2.35161482 -0.00566308
2.35506293 -0.00126785
2.35851105 -0.00565960
2.36195916 -0.00126602
2.36540728 -0.00565575
2.36885540 -0.00126347
2.37230351 -0.00565112
2.37575163 -0.00125979
2.37919974 -0.00564585
2.38264786 -0.00125583
2.38609597 -0.00564016
2.38954409 -0.00125231
2.39299220 -0.00563500
2.39644032 -0.00124945
2.39988844 -0.00563069
2.40333655 -0.00124676
2.40678467 -0.00562661
2.41023278 -0.00124419
2.41368090 -0.00562224
2.41712901 -0.00124110
2.42057713 -0.00561752
2.42402524 -0.00123797
2.42747336 -0.00561280
2.43092148 -0.00123516
2.43436959 -0.00560831
2.43781771 -0.00123304
2.44126582 -0.00560428
2.44471394 -0.00123151
2.44816205 -0.00560076
2.45161017 -0.00122980
2.45505828 -0.00559753
2.45850640 -0.00122755
2.46195452 -0.00559358
2.46540263 -0.00122537
2.46885075 -0.00558950
2.47229886 -0.00122326
2.47574698 -0.00558541
2.47919509 -0.00122109
2.48264321 -0.00558144
2.48609132 -0.00121901
2.48953944 -0.00557717
2.49298756 -0.00121685
2.49643567 -0.00557305
2.49988379 -0.00121483
2.50333190 -0.00556937
2.50678002 -0.00121276
2.51022813 -0.00556568
2.51367625 -0.00121039
2.51712437 -0.00556125
2.52057248 -0.00120801
2.52402060 -0.00555620
2.52746871 -0.00120522
2.53091683 -0.00555169
2.53436494 -0.00120246
2.53781306 -0.00554774
2.54126117 -0.00120022
2.54470929 -0.00554315
2.54815741 -0.00119760
2.55160552 -0.00553781
2.55505364 -0.00119436
2.55850175 -0.00553257
2.56194987 -0.00119112
2.56539798 -0.00552823
2.56884610 -0.00118933
2.57229421 -0.00552479
2.57574233 -0.00118883
2.57919045 -0.00552176
2.58263856 -0.00118768
2.58608668 -0.00551903
2.58953479 -0.00118589
2.59298291 -0.00551540
2.59643102 -0.00118443
2.59987914 -0.00551145
2.60332725 -0.00118312
2.60677537 -0.00550748
2.61022349 -0.00118151
2.61367160 -0.00550328
2.61711972 -0.00117915
2.62056783 -0.00549904
2.62401595 -0.00117684
2.62746406 -0.00549463
2.63091218 -0.00117488
2.63436029 -0.00549087
2.63780841 -0.00117251
2.64125653 -0.00548626
2.64470464 -0.00116965
2.64815276 -0.00548084
2.65160087 -0.00116605
2.65504899 -0.00547514
2.65849710 -0.00116257
2.66194522 -0.00546980
2.66539333 -0.00115961
2.66884145 -0.00546518
2.67228957 -0.00115722
2.67573768 -0.00546127
2.67918580 -0.00115575
2.68263391 -0.00545849
2.68608203 -0.00115522
2.68953014 -0.00545621
2.69297826 -0.00115513
2.69642637 -0.00545378
2.69987449 -0.00115461
2.70332261 -0.00545051
2.70677072 -0.00115298
2.71021884 -0.00544720
2.71366695 -0.00115095
2.71711507 -0.00544314
2.72056318 -0.00114954
2.72401130 -0.00543904
2.72745941 -0.00114746
2.73090753 -0.00543482
2.73435565 -0.00114492
2.73780376 -0.00543042
2.74125188 -0.00114215
2.74469999 -0.00542600
